study_id,title,year,integration_pattern,application_domain,problem_class,ai_role,blockchain_role,quantum_role,maturity_level,implementation_maturity,validation_rigor,validation_strategy,evaluation_context,quality_score,reproducibility_status,code_available,data_available,artifact_available,key_finding
S001,"Quantum-computing with AI & blockchain: modelling, fault tolerance and capacity scheduling",2019,,,,,,,,,,,,5.0,,,,,
S002,Blockchain-Based SQKD and IDS in Edge Enabled Smart Grid Network,2022,,,,,,,,,,,,5.0,,,,,
S003,Combination of Blockchain and AI for Music Intellectual Property Protection,2022,,,,,,,,,,,,4.5,,,,,
S004,Designing quantum blockchain system integrated with 6G network,2023,,,,,,,,,,,,5.0,,,,,
S005,Improving phishing detection in Ethereum transaction network using Quantum Machine Learning,2023,,,,,,,,,,,,5.0,,,,,
S006,IoT-Enabled Secure and Scalable Cloud Architecture for Multi-User Systems: A Hybrid Post-Quantum Cryptographic and Blockchain-Based Approach Toward a Trustworthy Cloud Computing,2023,,,,,,,,,,,,5.0,,,,,
S007,Probabilistic Neural Network Based Visual Data Mining for Healthcare Sector,2023,,,,,,,,,,,,5.0,,,,,
S008,Qwallet: A Hybrid Cryptocurrency Wallet using Quantum RNG,2023,,,,,,,,,,,,5.0,,,,,
S009,Blockchain Based Optimized Energy Trading for E-Mobility Using Quantum Reinforcement Learning,2023,,,,,,,,,,,,5.0,,,,,
S010,Securing Health Records Using Quantum Convolutional Neural Network,2023,,,,,,,,,,,,4.5,,,,,
S011,Blockchain Based Secure Federated Learning With Local Differential Privacy and Incentivization,2024,,,,,,,,,,,,5.0,,,,,
S012,DT-Block: Adaptive vertical federated reinforcement learning scheme for secure and efficient communication in 6G,2024,,,,,,,,,,,,5.0,,,,,
S013,Hybrid computing framework security in dynamic offloading for IoT-enabled smart home system,2024,,,,,,,,,,,,5.0,,,,,
S014,Performance analysis and evaluation of postquantum secure blockchained federated learning,2024,,,,,,,,,,,,5.0,,,,,
S015,Privacy preserving verifiable federated learning scheme using blockchain and homomorphic encryption,2024,,,,,,,,,,,,5.0,,,,,
S016,IoMT-Based Smart Healthcare Detection System Driven by Quantum Blockchain and Quantum Neural Network,2024,,,,,,,,,,,,5.0,,,,,
S017,Quantum-Inspired Heuristic Algorithm for Secure Healthcare Prediction Using Blockchain Technology,2024,,,,,,,,,,,,5.0,,,,,
S018,"Secure and Scalable IoT-Based Health Monitoring System using Deep Learning, Blockchain, and Decentralized Edge Computing",2024,,,,,,,,,,,,5.0,,,,,
S019,Quantum Deep Neural Network Based Classification of Attack Vectors on the Ethereum Blockchain,2024,,,,,,,,,,,,5.0,,,,,
S020,"AI-Driven Big Data Analytics For Personalized Medicine In Healthcare: Integrating Federated Learning, Blockchain, And Quantum Computing",2024,,,,,,,,,,,,4.5,,,,,
S021,Synergistic Solutions for Cloud Cybersecurity and Financial Operations using AI Blockchain and Quantum Computing,2024,,,,,,,,,,,,4.5,,,,,
S022,Enhancing Security in Distributed Computing Through Quantum Neural Network-Enabled Blockchain,2024,,,,,,,,,,,,4.5,,,,,
S023,A New Frontier in Digital Security: Verification for NFT Image Using Deep Learning-Based ConvNeXt Model in Quantum Blockchain,2024,,,,,,,,,,,,4.5,,,,,
S024,A Multifaceted Deepfake Prevention Framework Integrating Blockchain Post-Quantum Cryptography Hybrid Watermarking Human Oversight and Policy Governance,2025,,,,,,,,,,,,5.0,,,,,
S025,A Post-Quantum Blockchain and Autonomous AI-Enabled Scheme for Secure Healthcare Information Exchange,2025,,,,,,,,,,,,5.0,,,,,
S026,A Quantum-Resilient Sharded Blockchain Framework for Secure V2X and Federated Learning in Intelligent Transportation Systems,2025,,,,,,,,,,,,5.0,,,,,
S027,A Unified Biometric Authentication Framework for Web2-Web3 Interoperability Using Zero-Knowledge Proofs and Cross-Chain Decentralized Identifiers,2025,,,,,,,,,,,,5.0,,,,,
S028,Adaptive and Scalable Cloud Data Sharing Framework with Quantum-Resistant Security Decentralized Auditing and Machine Learning-Based Threat Detection,2025,,,,,,,,,,,,5.0,,,,,
S029,An online tool based on the Internet of Things and intelligent blockchain technology for data privacy and security in rural and agricultural development,2025,,,,,,,,,,,,5.0,,,,,
S030,Blockchain-Enabled Decentralized Data Lakes for Secure and Transparent AI-Ready Data Storage,2025,,,,,,,,,,,,5.0,,,,,
S031,Central Bank Digital Currency (CBDC) 3.0: Quantum Ledger-Based Multi-Currency Smart Exchange System,2025,,,,,,,,,,,,5.0,,,,,
S032,Cyber Threats in the Pharmaceutical Industry: A Deep Dive Into Recent Attacks and Future Implications,2025,,,,,,,,,,,,4.5,,,,,
S033,Design and Deployment of Deception-Based Honeypot Systems for Early Detection of Advanced Persistent Threats,2025,,,,,,,,,,,,4.5,,,,,
S034,Fed-IoMT-Block: A Privacy-Preserving Framework for Secure Federated Learning in Consumer-Centric Internet of Medical Things,2025,,,,,,,,,,,,5.0,,,,,
S035,Generative AI-Enabled Quantum Encryption Algorithm for Securing IoT-Based Healthcare Application Using Blockchain,2025,,,,,,,,,,,,5.0,,,,,
S036,Hybrid Quantum Classical Deep Neural Networks Based Smart Contract Vulnerability Detection,2025,,,,,,,,,,,,5.0,,,,,
S037,NSCTI: A Hybrid Neuro-Symbolic Framework for AI-Driven Predictive Cyber Threat Intelligence,2025,,,,,,,,,,,,4.5,,,,,
S038,PPFLQB: A Privacy-Preserving Federated Learning enhanced Quantum-secure Blockchain layered framework,2025,,,,,,,,,,,,5.0,,,,,
S039,PQBFL: A Post-Quantum Blockchain-based protocol for Federated Learning,2025,,,,,,,,,,,,5.0,,,,,
S040,Quantum-resilient blockchain framework for privacy-preserving genomic data sharing and analysis,2025,,,,,,,,,,,,5.0,,,,,
S041,Research on the Standardization of AI-driven Data Security Communication Protocols for Power Trading Networks,2025,,,,,,,,,,,,4.5,,,,,
S042,"Advanced Cybersecurity Framework for LEO Aerospace: Integrating Quantum Cryptography, Artificial Intelligence Anomaly Detection, and Blockchain Technology",2025,,,,,,,,,,,,4.5,,,,,
S043,Quantum Assisted Blockchain Security Model Using Artificial Intelligence to Reduce Quantum Attacks,2025,,,,,,,,,,,,4.5,,,,,
S044,Pioneering the Security of EHRs Using an Immersive Blockchain Conceptual Framework ,2025,,,,,,,,,,,,5.0,,,,,
S045,QryptaShield: Quantum-Inspired Feature Selection and RL-Calibrated Federated Learning for Low-False-Positive IoT Intrusion Detection,2025,,,,,,,,,,,,4.5,,,,,
S046,Robust 6G Networks: Augmenting Physical Layer Security via Adaptive Visible Light Communication Methods,2025,,,,,,,,,,,,4.5,,,,,
S047,Post-Quantum Blockchain-Based Secure Framework for Trustworthy Consumer Internet of Things,2025,,,,,,,,,,,,4.5,,,,,
S048,Quantum-AI Scheduling Framework for Secure Healthcare Systems,2025,,,,,,,,,,,,4.5,,,,,
S049,Secure-by-Design IoMT Networks: A Quantum-Blockchain and AI Framework for 6G Healthcare,2025,,,,,,,,,,,,4.5,,,,,
S050,SecureEdge-MedChain: A Post-Quantum Blockchain and Federated Learning Framework for Real-Time Predictive Diagnostics in IoMT,2025,,,,,,,,,,,,4.5,,,,,
S051,Hybridizing Spiking Neural Networks and Federated Quantum Learning for Resource Optimization in Next-Gen 6G Architectures,2025,,,,,,,,,,,,5.0,,,,,
S052,ImHQCN: Improved Harris Hawk Optimized Modified Elliptic Curve Digital Signature Encryption-based Malware Prediction and Secure Data Sharing Framework,2025,,,,,,,,,,,,5.0,,,,,
S053,IoT Security Through the Scientometric Lens: Emerging Techniques and Research Trends,2025,,,,,,,,,,,,5.0,,,,,
S054,MDH-QCNN: Secure Data Sharing using a Multi-Objective Optimized Blockchain-based Framework,2025,,,,,,,,,,,,5.0,,,,,
S055,Proxy Pattern Smart Contract-Enabled Secure Vaccine Model using ASC-MT,2025,,,,,,,,,,,,5.0,,,,,
S056,Random Security Generators with Enhanced Cryptography for Cybersecurity in Financial Supply Chains,2025,,,,,,,,,,,,5.0,,,,,
S057,Fortifying Industry 4.0 Solar Power Systems: A Blockchain-Driven Cybersecurity Framework with Immutable LightGBM,2025,,,,,,,,,,,,5.0,,,,,
S058,Quantum Chameleon Swarm Optimizer-Based Feature Selection with Deep Learning for Intrusion Detection in Blockchain-Enabled IoT Environments,2025,,,,,,,,,,,,5.0,,,,,
S059,An AI-Driven Framework for Integrated Security and Privacy in Internet of Things Using Quantum-Resistant Blockchain,2025,,,,,,,,,,,,5.0,,,,,
S060,"Quantum deep learning-enhanced ethereum blockchain for cloud security: intrusion detection, fraud prevention, and secure data migration",2025,,,,,,,,,,,,5.0,,,,,
S061,Privacy-enhanced data compression using quantum zk-SNARKs and variational auto-encoders in cloud-IoT based healthcare sensor data for medical applications,2025,,,,,,,,,,,,5.0,,,,,
S062,"A Hybrid Quantum-Driven Framework for Secure Cloud Computing using QNN, ZKE, and Block Chain",2025,,,,,,,,,,,,5.0,,,,,
S063,A Low-Cost IoT-Based Real-Time Air Quality Monitoring System Using Multi-Sensor Integration and Bluetooth Communication,2025,,,,,,,,,,,,5.0,,,,,
S064,Development of Digital Currency based on Network Security Encryption Technology and AI Intelligent Information Monitoring,2025,,,,,,,,,,,,5.0,,,,,
S065,When Quantum Federated Learning Meets Blockchain in 6G Networks,2025,,,,,,,,,,,,5.0,,,,,
S066,A study on the dynamic optimization strategy of energy routers in zero-carbon ports based on digital twin technology,2025,,,,,,,,,,,,5.0,,,,,
S067,"A Federated Learning Approach Towards Hybrid Blockchain, Quantum-Key-Encryption based Distributed System: A Futuristic Healthcare Architecture for Smart Cities",2025,,,,,,,,,,,,4.5,,,,,
S068,A MARL-federated blockchain-based quantum secure framework for trust management in industrial internet of things ,2025,,,,,,,,,,,,5.0,,,,,
S069,Variational Quantum Reinforcement Learning for Joint Resource Allocation of Blockchain-Based Vehicular Edge Computing and Quantum Internet,2025,,,,,,,,,,,,5.0,,,,,
S070,Enhancing Electoral Integrity: A Hybrid Blockchain-Based E-Voting System with Deep Learning and Post-quantum Cryptography,2025,,,,,,,,,,,,4.5,,,,,
S071,Machine Learning Ensures Quantum-Safe Blockchain Availability,2025,,,,,,,,,,,,4.5,,,,,
S072,Hybrid Quantum Teaching With Adaptive Group Termite Alate Optimization Based Optimal Mixed Block Withholding Attacks,2025,,,,,,,,,,,,4.5,,,,,
S073,Cyber-XAI-Block: an end-to-end cyber threat detection & fl-based risk assessment framework for iot enabled smart organization using xai and blockchain technologies,2025,,,,,,,,,,,,4.5,,,,,
S074,AI-optimized blockchain security for smart agriculture using post-quantum cryptography and graph neural network-based threat detection,2025,,,,,,,,,,,,5.0,,,,,
S075,Analyzing blockchain-based waste management investments in smart cities using quantum picture fuzzy rough modelling,2025,,,,,,,,,,,,4.5,,,,,
S076,Towards Quantum-Resilient Food Systems: Federated AI and Lightweight Lattice Hashing for Blockchain-Based Traceability,2025,,,,,,,,,,,,5.0,,,,,
S077,QuanFraud: Quantum State Verification Scheme for Fraud Detection in IoT-Assisted Quantum-Blockchain Networks,2025,,,,,,,,,,,,5.0,,,,,
